конто|ко+нто
ля|ля+
сварочный|сва+рочный
автоматно|автома+тно
ай|ай+
активно|акти+вно
атинский|ати+нский
алмазно|алма+зно
матер|ма+тер
весы|весы+
час|ча+с
логический|логи+ческий
аспидно|а+спидно
ах|а+х
бай|ба+й
маскарад|маскара+д
гитара|гита+ра
кларнет|кларне+т
китайка|кита+йка
брезе|брезе+
си|си+
ансамбль|анса+мбль
группа|гру+ппа
музыка|му+зыка
бледно|бле+дно
бледно|бле+дно
розовый|ро+зовый
голубой|голубо+й
лиловый|лило+вый
синий|си+ний
сиреневый|сире+невый
микроскоп|микроско+п
аппарат|аппара+т
диаграмма|диагра+мма
контакт|конта+кт
контактор|конта+ктор
маркер|ма+ркер
механизм|механи+зм
пункт|пу+нкт
сигнал|сигна+л
сополимер|сополиме+р
схема|схе+ма
участок|уча+сток
баба|ба+ба
девка|де+вка
стеньга|сте+ньга
брамсель|бра+мсель
стеньга|сте+ньга
вымпел|вы+мпел
брутто|бру+тто
буль|бу+ль
демократический|демократи+ческий
буро|бу+ро
буро|бу+ро
бутылочно|буты+лочно
восьмых|восьмы+х
девятых|девя+тых
десятых|деся+тых
пятых|пя+тых
седьмых|седьмы+х
третьих|тре+тьих
шестых|шесты+х
банк|ба+нк
бостон|босто+н
секунда|секу+нда
час|ча+с
вертикально|вертика+льно
кран|кра+н
индский|и+ндский
посадочный|поса+дочный
видным|видны+м
винно|ви+нно
вторых|вторы+х
первых|пе+рвых
машина|маши+на
ампер|ампе+р
амперный|ампе+рный
секунда|секу+нда
вот|во+т
терапевт|терапе+вт
га|га+
гав|га+в
где|где+
где|где+
нигде|нигде+
где|где+
переводчик|перево+дчик
гитара|гита+ра
компания|компа+ния
горько|го+рько
смазочный|сма+зочный
атом|а+том
вес|ве+с
масса|ма+сса
молекула|моле+кула
молекулярный|молекуля+рный
моль|мо+ль
сила|си+ла
па|па+
при|при+
дама|да+ма
зонтик|зо+нтик
бар|ба+р
кафе|кафе+
уборная|убо+рная
ванты|ва+нты
марсель|ма+рсель
мачта|ма+чта
грудино|груди+но
грязно|гря+зно
гуль|гу+ль
густо|гу+сто
густо|гу+сто
да|да+
да|да+
факто|фа+кто
юре|ю+ре
мороз|моро+з
деньской|деньско+й
другой|друго+й
банд|ба+нд
клуб|клу+б
оркестр|орке+стр
ритм|ри+тм
рок|ро+к
фестиваль|фестива+ль
рок|ро+к
диагонально|диагона+льно
динь|ди+нь
гигант|гига+нт
жокей|жоке+й
диезный|дие+зный
мажорный|мажо+рный
минорный|мино+рный
велюр|велю+р
дум|ду+м
рыба|ры+ба
богу|бо+гу
ей|е+й
еле|е+ле
птица|пти+ца
птицын|пти+цын
красный|кра+сный
премьер|премье+р
здоров|здоро+в
был|бы+л
носорог|носоро+г
олень|оле+нь
плавунец|плавуне+ц
сварной|сварно+й
зачем|заче+м
зачем|заче+м
бурый|бу+рый
серый|се+рый
землисто|земли+сто
зенитно|зени+тно
машина|маши+на
золотисто|золоти+сто
опера|о+пера
автомат|автома+т
вест|ве+ст
вестовый|ве+стовый
вест|ве+ст
вестовый|ве+стовый
ост|о+ст
остовый|о+стовый
ост|о+ст
остовый|о+стовый
избура|и+збура
изжелта|и+зжелта
изумрудно|изумру+дно
единица|едини+ца
кварто|ква+рто
октаво|окта+во
плано|пла+но
фолио|фо+лио
искрасна|и+скрасна
иссиня|и+ссиня
бюрократический|бюрократи+ческий
как|ка+к
как|ка+к
никак|ника+к
как|ка+к
какой|како+й
какой|како+й
какой|како+й
каменно|ка+менно
канатно|кана+тно
кап|ка+п
кар|ка+р
бланш|бла+нш
ква|ква+
кис|ки+с
трава|трава+
когда|когда+
когда|когда+
когда|когда+
где|где+
как|ка+к
какой|како+й
