абвер|а+бве+р
августовский|а+вгусто+вский
авиационнокосмический|авиацио+ннокосми+ческий
авиационноракетный|авиацио+ннораке+тный
авиационноспортивный|авиацио+нноспорти+вный
авиационнотехнический|авиацио+ннотехни+ческий
авиационнохимический|авиацио+ннохими+ческий
авось-либо|аво+сь-ли+бо
австро-венгерский|а+встро-венге+рский
австро-германский|а+встро-герма+нский
австро-итало-французский|а+встро-ита+ло-францу+зский
австро-итальянский|а+встро-италья+нский
австро-советский|а+встро-сове+тский
автаркия|авта+рки+я
автобусно-таксомоторный|авто+бусно-таксомото+рный
автомат-пакетировщик|автома+т-пакетиро+вщик
автомат-упаковщик|автома+т-упако+вщик
автомобиль-вышка|автомоби+ль-вы+шка
автомобильно-дорожный|автомоби+льно-доро+жный
автомобильно-железнодорожный|автомоби+льно-железнодоро+жный
автомобильно-тракторный|автомоби+льно-тра+кторный
авторско-правовой|а+вторско-правово+й
автотомия|автото+ми+я
автотракторостроение|автотра+кторострое+ние
автоэлектронный|автоэлектро+нный
ага-хан|ага+-ха+н
агар-агар|ага+р-ага+р
агитационно-массовый|агитацио+нно-ма+ссовый
аграрно-индустриальный|агра+рно-индустриа+льный
аграрно-промышленный|агра+рно-промы+шленный
агрегатно-сборочный|агрега+тно-сбо+рочный
агрессивно-коррозионный|агресси+вно-коррозио+нный
агроэкологический|агроэкологи+ческий
агроэкономический|агроэкономи+ческий
агроэкосистема|агроэкосисте+ма
административно-волевой|администрати+вно-волево+й
административно-дисциплинарный|администрати+вно-дисциплина+рный
административно-командный|администрати+вно-кома+ндный
административно-приказной|администрати+вно-приказно+й
административно-территориальный|администрати+вно-территориа+льный
административно-управленческий|администрати+вно-управле+нческий
административно-хозяйственный|администрати+вно-хозя+йственный
адмирал-инженер|адмира+л-инжене+р
адмиралтейств-коллегия|адмиралте+йств-колле+гия
адмиралтейств-совет|адмиралте+йств-сове+т
адрес-календарь|а+дрес-календа+рь
адресно-справочный|а+дресно-спра+вочный
адсорбционно-комплексный|адсорбцио+нно-ко+мплексный
адъюнкт-профессор|адъю+нкт-профе+ссор
